Hospital Name,Address,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,Acute Care Hospitals,Proprietary,True,3.0
PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99508,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,Acute Care Hospitals,Tribal,True,3.0
TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,Acute Care Hospitals,Voluntary non-profit - Other,False,3.0
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,Acute Care Hospitals,Government - Federal,True,2.0
CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,Acute Care Hospitals,Government - Local,False,3.0
ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PARKWAY,WESTMINSTER,CO,80023,BROOMFIELD,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,HARTFORD,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,Acute Care Hospitals,Proprietary,True,4.0
HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,Acute Care Hospitals,Proprietary,True,2.0
KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,Acute Care Hospitals,Proprietary,True,3.0
WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,PAULDING,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,Acute Care Hospitals,Proprietary,True,3.0
